DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2016,31.1,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2017,23.0,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2018,19.5,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2019,,bu,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2020,,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2021,25.6,bu,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2022,,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2023,,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2024,,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2010,11.3,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2011,9.3,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2012,9.9,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2013,8.9,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2014,10.8,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2015,10.3,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2016,11.3,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2017,11.4,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2018,13.0,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2019,9.4,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2020,9.5,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2021,15.4,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2022,10.0,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2023,10.7,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,2024,11.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2010,8.6,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2011,12.0,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2012,27.8,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2013,41.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2014,30.5,bu,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2015,40.1,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2016,18.7,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2017,34.4,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2018,26.7,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2019,,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2020,,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2021,16.3,bu,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2022,19.8,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2023,28.2,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2024,24.7,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2010,37.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2011,39.3,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2012,46.3,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2013,38.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2014,30.2,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2015,34.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2016,29.4,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2017,17.5,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2018,17.5,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2019,11.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2020,11.8,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2021,13.9,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2022,16.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2023,17.8,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2024,15.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2010,16.2,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2011,14.7,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2012,15.5,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2013,14.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2014,15.4,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2015,15.2,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2016,14.9,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2017,14.2,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2018,13.0,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2019,11.4,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2020,13.3,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2021,12.4,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2022,8.0,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2023,8.2,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2024,8.4,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2010,14.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2011,16.2,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2012,17.9,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2013,16.0,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2014,16.0,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2015,15.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2016,13.0,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2017,13.8,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2018,11.0,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2019,13.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2020,11.0,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2021,9.2,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2022,9.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2023,9.8,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2024,13.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2010,40.4,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2011,24.0,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2012,31.5,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2013,18.5,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2014,18.6,bu,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2015,15.4,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2016,16.9,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2017,,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2018,16.0,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2019,17.0,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2020,25.2,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2021,21.9,bu,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2022,24.7,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2023,,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2024,,u,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2010,31.1,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2011,42.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2012,49.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2013,57.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2014,52.0,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2015,50.8,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2016,46.8,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2017,48.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2018,53.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2019,51.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2020,37.8,,
